id,breed,description,traits,height,weight,population,cat_picture
1,American Shorthair,"The American Shorthair is a friendly and adaptable cat known for its sturdy build and diverse coat colors and patterns. They're affectionate but independent, making them great companions for families","Adaptable, Friendly, Sturdy",8-10 inches,11-15 pounds,Medium,static/cat_pics/americanshorthair.jpg
2,Persian,"Persian cats are known for their long, luxurious coats and sweet, gentle personalities. They're calm, affectionate, and enjoy a quiet environment.","Gentle, calm, affectionate",10-15 inches,7-12 pounds,High,static/cat_pics/persian.jpg
3,Siamese,"Siamese cats are vocal, social, and highly affectionate. They have striking blue almond-shaped eyes and a short coat with color points on their ears, face, paws, and tail.","Vocal, social, affectionate",8-10 inches,8-12 pounds,Medium,static/cat_pics/siamese.jpg
4,Bengal,"Bengal cats have a wild appearance with striking coat patterns reminiscent of a leopard. They're active, playful, and enjoy interactive toys and games.","Active, playful, exotic appearance",9-11 inches,8-15 pounds,Low,static/cat_pics/bengal.jpg
5,Ragdoll,"Ragdolls are large, gentle cats known for their placid temperament and tendency to go limp when picked up, hence their name. They're affectionate and great for families.","Gentle, affectionate, docile",9-11 inches,10-20 pounds,Medium,static/cat_pics/ragdoll.jpg
6,Sphynx,"Sphynx cats are hairless, but they are known for their warm, wrinkled skin and energetic, playful nature. They are affectionate and enjoy attention from their owners.","Energetic, affectionate, playful",8-10 inches,6-12 pounds,Log,static/cat_pics/sphynx.jpg
7,Maine Coon,"Maine Coons are one of the largest domesticated cat breeds. They have tufted ears, a bushy tail, and a friendly, outgoing nature. They're affectionate and good with families.","Gentle, sociable, large",10-16 inches,6-12 pound,Hight,static/cat_pics/mainecoon.jpg
8,British Shorthair,"British Shorthairs are known for their round faces, dense coats, and calm, easygoing personalities. They're independent yet enjoy companionship.","Easygoing, independent, round-faced","12-14 inches,",10-25 pounds,Medium,static/cat_pics/britishshorthair.jpg
9,Scottish Fold,"Scottish Folds are recognized by their unique folded ears. They have a sweet, gentle disposition and are known for being good with children and other pets.","Sweet, gentle, folded ears",8-11 inches,9-18 pounds,Low,static/cat_pics/scottishfold.jpg
10,Devon Rex,"Devon Rex cats have curly coats, large ears, and mischievous personalities. They're active, playful, and enjoy being the center of attention.","Curly-coated, playful, mischievous",9-11 inches,5-10 pounds,Low,static/cat_pics/devonrex.jpg
11,Exotic Shorthair,"Exotic Shorthairs have a similar appearance to Persian cats but with shorter coats. They're affectionate, calm, and easy to groom.","Affectionate, calm, easy grooming",9-12 inches,7-14 pounds,Medium,static/cat_pics/exoticshorthair.jpg
12,Japanese Bobtail,"Japanese Bobtails have short, distinct tails resembling a pompom. They're active, intelligent, and enjoy interactive play.","Active, intelligent, distinctive tail",7-9 inches,5-10 pounds,Low,static/cat_pics/bobtail.jpg
13,Turkish Angora,"Turkish Angoras have long, silky coats and are known for their playful and intelligent nature. They're affectionate and enjoy climbing and exploring.","Playful, intelligent, silky coat",7-10 inches,5-10 pounds,Low,static/cat_pics/turkishangora.jpg
14,Norwegian Forest Cat,"Norwegian Forest Cats have a thick, water-resistant coat and a robust build. They're friendly, independent, and excellent climbers","Robust, independent, excellent climber",9-12 inches,10-20 pounds,Medium,static/cat_pics/norwegianforest.jpg
15,Burmese,"Burmese cats have a sleek coat and a loving, social personality. They're affectionate, energetic, and enjoy interactive play.","Loving, social, energetic,8-10 inches",8-10 inches,6-12 pounds,Medium,static/cat_pics/burmese.jpg
16,Cornish Rex,"Cornish Rex cats have curly coats and a slender build. They're active, playful, and enjoy being the center of attention.","Curly-coated, playful, attention-seeking",9-11 inches,"6-10 pounds,",Law,static/cat_pics/cornishrex.jpg
17,Oriental,"Oriental cats come in various coat colors and patterns. They're vocal, affectionate, and enjoy interactive play and attention.","Vocal, affectionate, varied coat colors",8-10 inches,6-12 pounds,LOw,static/cat_pics/oriental.jpg
18,Abyssinian,"Abyssinians have a short, ticked coat and a playful, curious personality. They're active, intelligent, and enjoy exploring their surroundings.","Playful, curious, intelligent",8-10 inches,6-10 pounds,Low,static/cat_pics/abyssinian.jpg
19,Bombay,"Bombay cats have sleek, black coats and a friendly, affectionate nature. They're social, intelligent, and enjoy spending time with their human companions.","Friendly, affectionate, sleek black coat",8-10 inches,8-15 pounds,Low,static/cat_pics/bomaby.jpg
20,Manx,"Manx cats are known for their lack of a tail or a short, stubby tail. They're friendly, playful, and adaptable.","friendly, playful, and adaptable.",8-10 inches,8-12 pounds,Medium,static/cat_pics/manx.jpg
